category,requirement,source,weight,source_clause_ids,checkable_test,applicability,assessability,citation_confidence,notes,human_review_status,representative_source_clause_ids,candidate_id,duplicate_model_output_count,triage_candidate_id,source_acts,missing_source_clause_ids,source_provenance_status,triage_run_timestamp_utc,review_flags,likely_government_facing,government_facing_reasons,policy_checkability_signal_count,policy_checkability_signal_terms,administrative_signal_terms,recommended_action,resolved_act,requirement_canonical_hash,requirement_exact_duplicate_group,requirement_near_duplicate_similarity,requirement_near_duplicate_group
Data Principal Rights,A Data Fiduciary must provide a Data Principal with the means to make a complaint to the Board.,"DPDP Act 2023, Section 4(1)(iii)",2,"[""G000452""]",Verify if the Data Fiduciary provides clear instructions on how to file a complaint with the Board.,Applies to all Data Fiduciaries processing personal data in India.,High,high,This obligation is part of the Data Principal's right to complain under the DPDP Act 2023.,PENDING,['G000452'],TC-000011,1,TC-000011,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""complaint"", ""data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,0709fd984f449fcccb8c19184fa0060d87a1f1f2e6af53fd88f4df00cc63fcd3,,1.0,
Consent & Notice,A Data Fiduciary must accompany or precede a request for personal data with a notice describing the personal data and the purpose of its processing.,"DPDP Act 2023, Section 3(B)",3,"[""G000453""]",Check if all data processing requests include a notice describing the data and its purpose.,Applies to all Data Fiduciaries processing personal data for KYC requirements.,High,high,This requirement applies specifically to data processing for KYC under the DPDP Act 2023.,PENDING,['G000453'],TC-000012,1,TC-000012,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""data"", ""notice"", ""personal data"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,be6d84c351c5e41c29d1b086ff235ce3bb25c59607264421f96778b0f13350ed,,1.0,
Consent & Notice,A Data Fiduciary must inform a Data Principal of the right to withdraw consent and the consequences of withdrawal.,"DPDP Act 2023, Section 4(1)(b)",3,"[""G000462""]",Verify if the Data Fiduciary provides information on how to withdraw consent and its effects.,Applies to all Data Fiduciaries processing personal data with prior consent.,High,high,This obligation is tied to the right of Data Principals to withdraw consent under the DPDP Act 2023.,PENDING,['G000462'],TC-000013,1,TC-000013,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],3,"[""consent"", ""data"", ""information""]",[],LEGAL_REVIEW,DPDP_ACT_2023,4663b76880368d95676828f75241c99166b6b02b4b4abc01e93ea82de2931b07,,1.0,
Consent & Notice,A Data Fiduciary must inform a Data Principal of the purpose of processing personal data upon the commencement of the DPDP Act 2023.,"DPDP Act 2023, Section 4(1)(b)",3,"[""G000463""]",Check if the Data Fiduciary provides information on the purpose of data processing to Data Principals who gave consent before the Act's commencement.,Applies to all Data Fiduciaries who processed data before the DPDP Act 2023 came into effect.,High,high,This requirement applies to Data Principals who gave consent prior to the DPDP Act 2023.,PENDING,['G000463'],TC-000014,1,TC-000014,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],6,"[""consent"", ""data"", ""information"", ""personal data"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,4573312513a86ed019db8524ed4fb15a9fd9a72c434f392e0403da5a3d5ffe1d,,1.0,
Consent & Notice,The Data Fiduciary shall provide the Data Principal with the option to access the notice in English or any language specified in the Eighth Schedule to the Constitution.,"DPDP Act 2023, Section 8(3)",2,"[""G000464""]",Check if the notice provides the option to access in English or any language from the Eighth Schedule.,All data fiduciaries required to provide notice to data principals.,High,high,,PENDING,['G000464'],TC-000015,1,TC-000015,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],3,"[""access"", ""data"", ""notice""]",[],LEGAL_REVIEW,DPDP_ACT_2023,cf7eb35a23139328fec4924d31b469a0bd554c5e7fd4513e9c62c509f916b308,,1.0,
Consent & Notice,"Consent must be free, specific, informed, unconditional, and unambiguous, with a clear affirmative action, and limited to the necessary personal data for the specified purpose.","DPDP Act 2023, Section 8(1)",3,"[""G000465""]","Verify that consent is specific, informed, and limited to necessary data for the specified purpose.",All data fiduciaries seeking consent for processing personal data.,High,high,,PENDING,['G000465'],TC-000016,1,TC-000016,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""consent"", ""data"", ""personal data"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,c4a7690995d6cbeecb460ac55053c77611f3d6449bc80e06e9787dd027f4c31e,,1.0,
Consent & Notice,"Consent given for processing personal data shall not include any invalid terms, such as waiving the right to file a complaint with the Data Protection Board of India.","DPDP Act 2023, Section 8(6)",3,"[""G000467""]","Check if any part of the consent includes invalid terms, such as waiving the right to file a complaint.",All data fiduciaries seeking consent for processing personal data.,High,high,,PENDING,['G000467'],TC-000017,1,TC-000017,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],6,"[""complaint"", ""consent"", ""data"", ""personal data"", ""process"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,ee14ac2a0b65107fc5fe59b2681aaddb2a83c4d9c41641ed5a80ca8dfca693b4,,1.0,
Consent & Notice,"Every request for consent shall be presented in clear and plain language, with the option to access the request in English or any language specified in the Eighth Schedule to the Constitution.","DPDP Act 2023, Section 8(3)",2,"[""G000468""]",Verify that consent requests are presented in clear and plain language with the option to access in English or any language from the Eighth Schedule.,All data fiduciaries seeking consent for processing personal data.,High,high,,PENDING,['G000468'],TC-000018,1,TC-000018,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""access"", ""consent""]",[],LEGAL_REVIEW,DPDP_ACT_2023,3a3bc03244b27273d000a4f9fd3d13d65e0925d05ea2ffbe2e4537191c1ffa15,,1.0,
Consent & Notice,"The Data Principal shall have the right to withdraw consent at any time, with the ease of doing so being comparable to the ease with which such consent was given.","DPDP Act 2023, Section 8(4)",3,"[""G000470""]",Check if the withdrawal of consent is as easy as the initial consent was obtained.,All data fiduciaries processing personal data based on consent.,High,high,,PENDING,['G000470'],TC-000019,1,TC-000019,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""consent"", ""data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,1deb4363374cef5a22f10233bc66891b63c2f089855adf0dd35884b2c594ba68,,1.0,
Consent & Notice,"The Data Principal shall have the right to access the notice in English or any language specified in the Eighth Schedule to the Constitution, along with the contact details of the Data Protection Officer or authorized person.","DPDP Act 2023, Section 8(9)",2,"[""G000469""]",Verify that the notice includes the option to access in English or any language from the Eighth Schedule and provides contact details of the Data Protection Officer or authorized person.,All data fiduciaries required to provide notice to data principals.,High,high,,PENDING,['G000469'],TC-000020,1,TC-000020,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""access"", ""contact"", ""data"", ""notice"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,ffc5279605ab83c022001c2fc2ad006bab150adcf2ae1bbe1da2d8680d8024f6,,1.0,
Consent & Notice,The withdrawal of consent shall not affect the legality of processing of personal data based on consent before its withdrawal.,"DPDP Act 2023, Section 8(5)",2,"[""G000471""]",Check if the withdrawal of consent does not affect the legality of processing before withdrawal.,All data fiduciaries processing personal data based on consent.,High,high,,PENDING,['G000471'],TC-000021,1,TC-000021,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""consent"", ""data"", ""personal data"", ""process""]",[],LEGAL_REVIEW,DPDP_ACT_2023,dea6cf5ec465a0022096751ecc7e5c4a1d0407016f59208d78aac0b3c044074e,,1.0,
Consent & Notice,"If the Data Principal withdraws consent, the Data Fiduciary may stop enabling the use of the service for placing orders but may not stop processing for goods already ordered and paid for.","DPDP Act 2023, Section 8(2)",2,"[""G000472""]",Verify that withdrawal of consent does not affect the processing of goods already ordered and paid for.,All data fiduciaries processing personal data for fulfilling supply orders.,High,high,,PENDING,['G000472'],TC-000022,1,TC-000022,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""consent"", ""data"", ""process"", ""use""]",[],LEGAL_REVIEW,DPDP_ACT_2023,84792ea37db58f376ad7ed5691c61fa5f48bad715c3b5fa5b9bbfbefa152b69a,,1.0,
Consent & Notice,"A Data Fiduciary must cease processing personal data of a Data Principal who has withdrawn consent, unless processing is required or authorized by law.","DPDP Act 2023, Section 6(1)",3,"[""G000473"", ""G000474"", ""G000476""]","Verify if the document states that processing must cease upon withdrawal of consent, unless required by law.",Applies to all Data Fiduciaries handling personal data of Data Principals.,High,high,This obligation is directly tied to the withdrawal of consent and cessation of processing.,PENDING,['G000473'],TC-000023,3,TC-000023,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""consent"", ""data"", ""personal data"", ""process""]",[],LEGAL_REVIEW,DPDP_ACT_2023,71a50a54396f22448a22e79b91c24442b509b891cf39076b160dcbecb5e0e7f4,,1.0,
Consent & Notice,"A Data Principal may give, manage, review, or withdraw consent through a Consent Manager.","DPDP Act 2023, Section 6(7)",3,"[""G000477""]",Verify if the document allows a Data Principal to manage or withdraw consent through a Consent Manager.,Applies to all Data Fiduciaries handling personal data of Data Principals.,High,high,This obligation is directly tied to the right of the Data Principal to manage or withdraw consent.,PENDING,['G000477'],TC-000024,1,TC-000024,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""consent"", ""data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,252aa5c43600bfaf69427cab555f86c2d35f845f23fe97a23b97d9f230a78c65,,1.0,
Consent & Notice,A Consent Manager must be accountable to the Data Principal and act on her behalf in accordance with prescribed obligations.,"DPDP Act 2023, Section 6(8)",3,"[""G000478""]",Verify if the document states that the Consent Manager must act on behalf of the Data Principal in accordance with prescribed obligations.,Applies to all Data Fiduciaries using a Consent Manager.,High,high,This obligation is directly tied to the accountability of the Consent Manager to the Data Principal.,PENDING,['G000478'],TC-000025,1,TC-000025,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],3,"[""account"", ""consent"", ""data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,89d1f64def6d20dc1e6962d707b6a814c566137ed350c517f0467d84fb4c9f3d,,1.0,
Consent & Notice,A Consent Manager must be registered with the Board in accordance with prescribed conditions.,"DPDP Act 2023, Section 6(9)",3,"[""G000479""]",Verify if the document states that the Consent Manager must be registered with the Board in accordance with prescribed conditions.,Applies to all Data Fiduciaries using a Consent Manager.,High,high,This obligation is directly tied to the registration of the Consent Manager with the Board.,PENDING,['G000479'],TC-000026,1,TC-000026,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],1,"[""consent""]",[],LEGAL_REVIEW,DPDP_ACT_2023,35ef4594f2ed5d16c1c21ab5752ca609ea1443b3401d06264d0be03a6fd50d18,,1.0,
Consent & Notice,"A Data Fiduciary must prove that a notice was given and consent was obtained in accordance with the Act and rules, if a question arises in a proceeding.","DPDP Act 2023, Section 6(10)",3,"[""G000480""]",Verify if the document states that the Data Fiduciary must prove that notice was given and consent was obtained in accordance with the Act and rules.,Applies to all Data Fiduciaries handling personal data of Data Principals.,High,high,This obligation is directly tied to the requirement to prove that notice and consent were properly given.,PENDING,['G000480'],TC-000027,1,TC-000027,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],3,"[""consent"", ""data"", ""notice""]",[],LEGAL_REVIEW,DPDP_ACT_2023,b196ea87e51426b7890df672da6a111205b464e07ac69837df68863e728530f7,,1.0,
Data Retention & Erasure,"A Data Fiduciary may process personal data only for the specified purpose for which the Data Principal has voluntarily provided her data, unless she has indicated non-consent.","DPDP Act 2023, Section 7(a)",3,"[""G000481""]",Verify if the document states that data may be processed only for the specified purpose unless the Data Principal has indicated non-consent.,Applies to all Data Fiduciaries handling personal data of Data Principals.,High,high,This obligation is directly tied to the purpose limitation of data processing.,PENDING,['G000481'],TC-000028,1,TC-000028,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""consent"", ""data"", ""personal data"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,384a7243216b64289ba6255200a040b44d59505f713569e48d3aa618cf9d9edb,,1.0,
Significant Data Fiduciary Obligations,"A Data Fiduciary must process personal data only for purposes explicitly permitted by law, including providing services, fulfilling legal obligations, and safeguarding employer interests.","DPDP Act 2023, Section 7",3,"[""G000482"", ""G000483"", ""G000484"", ""G000485"", ""G000486"", ""G000490"", ""G000495"", ""G000496""]",Verify that the document specifies permitted purposes for data processing as outlined in the DPDP Act 2023.,All data fiduciaries processing personal data for permitted purposes.,High,high,This requirement covers multiple clauses that define permissible data processing purposes under the DPDP Act 2023.,PENDING,"['G000482', 'G000483', 'G000484', 'G000485', 'G000486', 'G000490', 'G000495', 'G000496']",TC-000029,1,TC-000029,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""data"", ""personal data"", ""process"", ""purpose""]",[],LEGAL_REVIEW,DPDP_ACT_2023,59fedd970aee7ef247ecf5f93bf766890cbdd664272d920445da3d62fa970c03,,1.0,
Security Safeguards,A Data Fiduciary shall protect personal data in its possession or under its control by taking reasonable security safeguards to prevent personal data breaches.,"DPDP Act 2023, Section 5(2)",3,"[""G000502""]",Verify that the document specifies the use of reasonable security safeguards to prevent data breaches.,All Data Fiduciaries processing personal data.,High,high,,PENDING,['G000502'],TC-000030,1,TC-000030,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],6,"[""breach"", ""data"", ""personal data"", ""protect"", ""security"", ""use""]",[],LEGAL_REVIEW,DPDP_ACT_2023,2407c45fbce24c870a238c04e74613746f783e2085d399bf50e205cccfa7b123,,1.0,
Breach Notification,"In the event of a personal data breach, the Data Fiduciary shall notify the Board and each affected Data Principal of the breach.","DPDP Act 2023, Section 5(6)",3,"[""G000503""]",Verify that the document specifies procedures for notifying the Board and affected Data Principals in case of a data breach.,All Data Fiduciaries processing personal data.,High,high,,PENDING,['G000503'],TC-000031,1,TC-000031,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],3,"[""breach"", ""data"", ""personal data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,7141d0654671290d9df4dd70f733ef0587b7cd9214c715a398d15dacdce3b12e,,1.0,
Data Retention & Erasure,A Data Fiduciary shall erase personal data upon the Data Principal withdrawing her consent.,"DPDP Act 2023, Section 5(5)(a)",3,"[""G000505""]",Verify that the document specifies the obligation to erase personal data upon withdrawal of consent.,All Data Fiduciaries processing personal data.,High,high,,PENDING,['G000505'],TC-000032,1,TC-000032,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""consent"", ""data"", ""erase"", ""personal data""]",[],LEGAL_REVIEW,DPDP_ACT_2023,3fc0ffed6cd34d24db6a9f995d38ab84768fcff52fe6b66531065d8a9af1f083,,1.0,
Data Retention & Erasure,A Data Fiduciary shall retain personal data for a period of ten years beyond the closing of an account for compliance with legal requirements.,"DPDP Act 2023, Section 5(10)",2,"[""G000510""]",Verify that the document specifies the retention of personal data for a period of ten years beyond account closure for legal compliance.,Data Fiduciaries subject to legal retention requirements.,High,high,,PENDING,['G000510'],TC-000033,1,TC-000033,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""account"", ""data"", ""personal data"", ""retain"", ""retention""]",[],LEGAL_REVIEW,DPDP_ACT_2023,34dd384c325afb661955c2e46e0219b52e8da5d9f90a1cbda2aaff68c2f23090,,1.0,
Data Retention & Erasure,A Data Fiduciary shall no longer retain personal data once the purpose for which it was collected has been fulfilled.,"DPDP Act 2023, Section 5(9)",2,"[""G000509""]",Verify that the document specifies the obligation to delete personal data once the purpose of processing has been fulfilled.,All Data Fiduciaries processing personal data.,High,high,,PENDING,['G000509'],TC-000034,1,TC-000034,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],7,"[""collect"", ""data"", ""delete"", ""personal data"", ""process"", ""purpose"", ""retain""]",[],LEGAL_REVIEW,DPDP_ACT_2023,f15ee3248d45694ed1826f73b60add86cf0033c2e82c44accd758be686ab20cb,,1.0,
Consent & Notice,A Data Fiduciary must cease processing personal data if the Data Principal does not exercise her rights for a prescribed period.,"DPDP Act 2023, Section 8(8)",2,"[""G000511""]",Verify if the document specifies a time period for inactivity before ceasing data processing.,Applies to Data Fiduciaries who process personal data based on user inactivity.,High,high,,PENDING,['G000511'],TC-000035,1,TC-000035,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""data"", ""personal data"", ""process"", ""rights""]",[],LEGAL_REVIEW,DPDP_ACT_2023,f5c753f66bc822d9f275cd20877e574381f4282deb7a7ba7d2a73e30b1b89410,,1.0,
Data Retention & Erasure,A Data Fiduciary must establish a time period for the retention of personal data and erase it upon expiry.,"DPDP Act 2023, Section 8(8)",2,"[""G000511""]",Check if the document specifies a time period for data retention and erasure.,Applies to Data Fiduciaries who retain personal data for a specific period.,High,high,,PENDING,['G000511'],TC-000036,1,TC-000036,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],4,"[""data"", ""erase"", ""personal data"", ""retention""]",[],LEGAL_REVIEW,DPDP_ACT_2023,d2c9c4f1840700f24fc62ddf67e2cee54f6021c6fe70cec98c610493b7854e4f,,1.0,
Security Safeguards,A Data Fiduciary must publish business contact information for a Data Protection Officer or a person who can answer questions from Data Principals.,"DPDP Act 2023, Section 8(9)",2,"[""G000514""]",Verify if the document provides contact details for a Data Protection Officer or a representative.,Applies to Data Fiduciaries that have a Data Protection Officer.,High,high,,PENDING,['G000514'],TC-000037,1,TC-000037,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],5,"[""business"", ""contact"", ""data"", ""information"", ""protect""]",[],LEGAL_REVIEW,DPDP_ACT_2023,21cdcc0b4065f4ea7832265f901b6d5dd66e3f283c3404cbffb51082dc6ed09a,,1.0,
Grievance Redressal,A Data Fiduciary must establish an effective mechanism to redress grievances of Data Principals.,"DPDP Act 2023, Section 8(10)",2,"[""G000515""]",Check if the document outlines a grievance redressal mechanism.,Applies to all Data Fiduciaries.,High,high,,PENDING,['G000515'],TC-000038,1,TC-000038,"[""DPDP_ACT_2023""]",[],RESOLVED_SINGLE_ACT,2026-09-19T20:31:24.930919+00:00,[],False,[],2,"[""data"", ""grievance""]",[],LEGAL_REVIEW,DPDP_ACT_2023,8184433fab13831f2ebf4b397d0fbf2d17f5f80a459d8e74b65b38e7f64785ac,,1.0,
