clause_id,app_name,source_document,source_file,page_start,page_end,section_heading,clause_text,relevance_score,relevance_level
S000225,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,"""Third-Party Legal Proceeding"" means any formal legal proceeding filed by an unaffiliated third party before a court or government tribunal (including any appellate proceeding).",1,medium
S000231,Google,Google Play Terms of Service,Google Play Terms of Service.docx,1,1,2. Your Use of Google Play,"Age Restrictions. In order to use Google Play, you must have a valid Google account (“Google Account”), subject to the following age restrictions. If you are considered a minor in your country, you must have your parent or legal guardian’s permission to use Google Play and to accept the Terms. You must comply with any additional age restrictions that might apply for the use of specific Content or features on Google Play. Family managers and family members must meet these additional requirements as well.",2,medium
S000260,Google,Google Play Terms of Service,Google Play Terms of Service.docx,1,1,3. Purchases and Payments,"(d)Price Increases. When you purchase a subscription, you will initially be charged at the rate applicable at the time of your agreement to subscribe. If the price of the subscription increases later, Google will notify you. The increase will apply to the next payment due from you after the notice, provided that you have been given at least 30 days' prior notice before the charge is made. If you are given less than 30 days' prior notice, the price increase will not apply until the payment after the next payment due. If you do not wish to pay the increased price for a subscription, you may cancel the subscription as described in the Cancellations section of these Terms, and you will not be charged further amounts for the subscription, provided you have notified us before the end of the current billing period. Where the Provider increases the price of a subscription and consent is required, Google may cancel your subscription unless you agree to the new price. If your subscription is cancelled and you later decide to re-subscribe, you will be charged at the then current subscription rate.",2,medium
S000278,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Google Privacy Policy,"When you use our services, you’re trusting us with your information. We understand this is a big responsibility and work hard to protect your information and put you in control.",0,low
S000279,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Google Privacy Policy,"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how you can update, manage, export, and delete your information.",1,medium
S000280,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Google Privacy Policy,"We build a range of services that help millions of people daily to explore and interact with the world in new ways. Our services include: Products that are integrated into third-party apps and sites, like ads, analytics, and embedded Google Maps",0,low
S000282,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Platforms like the Chrome browser and Android operating system,"You can use our services in a variety of ways to manage your privacy. For example, you can sign up for a Google Account if you want to create and manage content like emails and photos, or see more relevant search results. And you can use many Google services when you’re signed out or without creating an account at all, like searching on Google or watching YouTube videos. You can also choose to browse the web in a private mode, like Chrome Incognito mode, which helps keep your browsing private from other people who use your device. And across our services, you can adjust your privacy settings (like history and personalization controls) to make choices about whether we save some types of data to your Google account and how we use it.",0,low
S000283,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Platforms like the Chrome browser and Android operating system,"To help explain things as clearly as possible, we’ve added examples, explanatory videos, and definitions for key terms. And if you have any questions about this Privacy Policy, you can contact us.",0,low
S000284,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We want you to understand the types of information we collect as you use our services,"We collect information to provide better services to all our users — from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like. The information Google collects, and how that information is used, depends on how you use our services and how you manage your privacy controls.",0,low
S000285,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We want you to understand the types of information we collect as you use our services,"Google also collects and uses data that is not associated with your account. For example, when you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This allows us to do things like maintain your preferences across browsing sessions, such as your preferred language or whether to show you more relevant search results or ads based on your activity.",0,low
S000286,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We want you to understand the types of information we collect as you use our services,"When you’re signed in, we also collect information that we store with your Google Account, which we treat as personal information.",0,low
S000287,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Things you create or provide to us,"When you create a Google Account, you provide us with personal information that includes your name and a password. You can also choose to add a phone number or payment information to your account. Even if you aren’t signed in to a Google Account, you might choose to provide us with information — like an email address to communicate with Google or receive updates about our services.",0,low
S000288,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Things you create or provide to us,"We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",0,low
S000289,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Your apps, browsers & devices","We collect information about the apps, browsers, and devices you use to access Google services, which helps us provide features like automatic product updates and dimming your screen if your battery runs low.",0,low
S000290,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Your apps, browsers & devices","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",0,low
S000291,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Your apps, browsers & devices","We collect this information when a Google service on your device contacts our servers — for example, when you install an app from the Play Store or when a service checks for automatic updates. If you’re using an Android device with Google apps, your device periodically contacts Google servers to provide information about your device and connection to our services. This information includes things like your device type and carrier name, crash reports, which apps you've installed, and, depending on your device settings, other information about how you’re using your Android device.",0,low
S000292,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Your apps, browsers & devices","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Chrome browsing history you’ve synced with your Google Account",0,low
S000294,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Activity on third-party sites and apps that use our services,"If you use our services to make and receive calls or send and receive messages, we may collect call and message log information like your phone number, calling-party number, receiving-party number, forwarding numbers, sender and recipient email address, time and date of calls and messages, duration of calls, routing information, and types and volumes of calls and messages.",0,low
S000295,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Activity on third-party sites and apps that use our services,You can visit your Google Account to find and manage activity information that’s saved in your history.,0,low
S000296,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Activity on third-party sites and apps that use our services,"We collect location information when you use our services, which helps us offer features like driving directions, search results for things near you, and ads based on your location.",0,low
S000297,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Activity on third-party sites and apps that use our services,"Depending on the products you’re using and settings you choose, Google may use different types of location information to help make some services and products you use more helpful. These include: Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices",0,low
S000299,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Activity on Google services, such as from your searches or places you label like home or work","The types of location data we collect and how long we store it depend in part on your device and account settings. For example, you can turn your Android device’s location on or off using the device’s settings app. You can also turn on Timeline if you want to create a private map of where you go with your signed-in devices. Depending on your settings, your searches and other activity from Google services, which may also include location information, are saved as history to your Google Account. For example, activity from services like Search, Maps, and Shopping is saved to Search Services History, and your activity on some other Google sites and apps is saved to Web & App Activity. Learn more about how we use location information.",0,low
S000300,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Activity on Google services, such as from your searches or places you label like home or work","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. We may also collect information about you from trusted partners, such as directory services who provide us with business information to be displayed on Google’s services, marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from partners to provide advertising and research services on their behalf.",0,low
S000301,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Activity on Google services, such as from your searches or places you label like home or work","We use various technologies to collect and store information, including cookies, pixel tags, local storage, such as browser web storage or application data caches, databases, and server logs.",0,low
S000302,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We use data to build better services,"We use the information we collect from all our services for the following purposes: We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.",0,low
S000304,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We also use your information to ensure our services are working as intended, such as tracking outages or troubleshooting issues that you report to us. And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services.",0,low
S000305,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We use the information we collect in existing services to help us develop new ones. For example, understanding how people organized their photos in Picasa, Google’s first photos app, helped us design and launch Google Photos.We use the information we collect to tailor our services for you, including providing customized and personalized experiences and recommendations, including things like content, and search results. For example, Security Checkup provides security tips adapted to how you use Google products. And, depending on your available settings, Google Play could use information like apps you’ve already installed and videos you’ve watched on YouTube to suggest new apps you might like.",0,low
S000306,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"Depending on your settings, we may also show you personalized ads based on your interests and activity across Google services. For example, if you search for “mountain bikes,” you may see ads for sports equipment on YouTube. You can control what information we use to show you ads by visiting your ad settings in My Ad Center.",0,low
S000307,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We don’t show you personalized ads based on sensitive categories, such as race, religion, sexual orientation, or health.",0,low
S000308,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We don’t show you personalized ads based on your content from Drive, Gmail, or Photos.",0,low
S000309,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We don’t share information that personally identifies you with advertisers, such as your name or email, unless you ask us to. For example, if you see an ad for a nearby flower shop and select the “tap to call” button, we’ll connect your call and may share your phone number with the flower shop.",0,low
S000310,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We use data for analytics and measurement to understand how our services are used. For example, we analyze data about your visits to our sites to do things like optimize product design. And we also use data about the ads you interact with, including your related Google Search activity, to help advertisers understand the performance of their ad campaigns. We use a variety of tools to do this, including ad and analytics services. When you visit sites or use apps that use Google’s ad or analytics services, those services may link information about your activity from that site or app with activity from other sites or apps that use our services.",0,low
S000311,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Provide our services,"We use information we collect, like your email address, to interact with you directly. For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location. Or we may let you know about upcoming changes or improvements to our services. And if you contact Google, we’ll keep a record of your request in order to help solve any issues you might be facing.",0,low
S000312,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Protect Google, our users, and the public","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",0,low
S000313,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Protect Google, our users, and the public","We use different technologies to process your information for these purposes. We use automated systems that analyze your content to provide you with things like tailored search results, personalized ads, or other features tailored to how you use our services. And we analyze your content to help us detect abuse such as spam, malware, and illegal content. We also use algorithms to recognize patterns in data. For example, Google Translate helps people communicate across languages by detecting common language patterns in phrases you ask it to translate.",0,low
S000314,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Protect Google, our users, and the public","We may use the information we collect across our services and across your devices for the purposes described above. For example, depending on your available settings, if you watch videos of guitar players on YouTube, you might see an ad for guitar lessons on a site that uses our ad products. Depending on your account settings, your activity on other sites and apps may be associated with your personal information in order to improve Google’s services and the ads delivered by Google.",0,low
S000315,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Protect Google, our users, and the public","If other users already have your email address or other information that identifies you, we may show them your publicly visible Google Account information, such as your name and photo. This helps people identify an email coming from you, for example.",0,low
S000316,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Protect Google, our users, and the public","We’ll ask for your consent before using your information for a purpose that isn’t covered in this Privacy Policy.This section describes key controls for managing your privacy across our services. You can also visit the Privacy Checkup, which provides an opportunity to review and adjust important privacy settings. In addition to these tools, we also offer specific privacy settings in our products — you can learn more in our Product Privacy Guide.",1,medium
S000317,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Managing, reviewing, and updating your information","When you’re signed in, you can always review and update information by visiting the services you use. For example, Photos and Drive are both designed to help you manage specific types of content you’ve saved with Google.",0,low
S000318,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Managing, reviewing, and updating your information","We also built a place for you to review and control information saved in your Google Account. Your Google Account includes: Across many of our services, you can adjust history and personalization controls to make choices about whether we save some types of data in your Google Account and how we use it to personalize your experience. For example, if you have YouTube History turned on, the videos you watch and the things you search for are saved in your account so you can get better recommendations and remember where you left off. Saving activity from services like Search, Maps, and Shopping to your Search Services History lets you do things like resume an AI Mode interaction where you left off or see past searches as Autocomplete suggestions. When Personalized Recommendations in Search services is on, these services can provide results, curated feeds, and AI responses that are personalized to you based on info in your Google Account, including Search Services History. And if you have Web & App Activity turned on, your activity from some other Google services are saved in your account so you can get more personalized experiences. Web & App Activity also has a subsetting that lets you control whether some information about your activity on other sites, apps, and devices that use Google services is saved with Web & App Activity in your Google Account and used to improve Google services.",0,low
S000320,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Ad settings,"Manage your preferences about the ads shown to you on Google and on sites and apps that partner with Google to show ads. You can modify your interests, choose whether your personal information is used to make ads more relevant to you, and turn on or off certain advertising services.",0,low
S000321,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,About you,Manage personal info in your Google Account and control who can see it across Google services.,0,low
S000322,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Shared endorsements,"Choose whether your name and photo appear next to your activity, like reviews and recommendations, that appear in ads.",0,low
S000323,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Sites and apps that use Google services,"Manage information that websites and apps using Google services, like Google Analytics, may share with Google when you visit or interact with their services.",0,low
S000324,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,My Activity,"My Activity allows you to review and control data that’s saved to your Google Account when you’re signed in and using Google services, like searches you’ve done or your visits to Google Play. You can browse by date and by topic, and delete part or all of your activity.",0,low
S000325,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Google Dashboard,Google Dashboard allows you to manage information associated with specific products.,0,low
S000326,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Your personal information,"Manage your contact information, such as your name, email, and phone number.",0,low
S000327,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Your personal information,"When you’re signed out, you can manage information associated with your browser or device, including: Signed-out search customization: Choose whether your search activity is used to offer you more relevant results and recommendations.",0,low
S000329,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Your personal information,YouTube settings: Pause and delete your YouTube Search History and your YouTube Watch History.,0,low
S000330,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Your personal information,Ad Settings: Manage your preferences about the ads shown to you on Google and on sites and apps that partner with Google to show ads.,0,low
S000331,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,"Exporting, removing & deleting your information",You can export a copy of content in your Google Account if you want to back it up or use it with a service outside of Google.,0,low
S000332,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Export your data,"To delete your information, you can: Inactive Account Manager allows you to give someone else access to parts of your Google Account in case you’re unexpectedly unable to use your account.",1,medium
S000334,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Delete your information,"And finally, you can also request to remove content from specific Google services based on applicable law and our policies.",1,medium
S000335,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Delete your information,"There are other ways to control the information Google collects whether or not you’re signed in to a Google Account, including: Browser settings: For example, you can configure your browser to indicate when Google has set a cookie in your browser. You can also configure your browser to block all cookies from a specific domain or all domains. But remember that our services rely on cookies to function properly, for things like remembering your language preferences.",1,medium
S000337,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Delete your information,"Device-level settings: Your device may have controls that determine what information we collect. For example, you can modify location settings on your Android device.",1,medium
S000338,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,When you share your information,"Many of our services let you share information with other people, and you have control over how you share. For example, you can share videos on YouTube publicly or you can decide to keep your videos private. Remember, when you share information publicly, your content may become accessible through search engines, including Google Search.",0,low
S000339,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,When you share your information,"When you’re signed in and interact with some Google services, like leaving comments on a YouTube video or reviewing an app in Play, your name and photo appear next to your activity. We may also display this information in ads depending on your Shared endorsements setting.",0,low
S000340,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,When Google shares your information,"We do not share your personal information with companies, organizations, or individuals outside of Google except in the following cases: We’ll share personal information outside of Google when we have your consent. For example, if you use Google Home to make a reservation through a booking service, we’ll get your permission before sharing your name or phone number with the restaurant. We also provide you with controls to review and manage third party apps and sites you have given access to data in your Google Account. We’ll ask for your explicit consent to share any sensitive personal information.",1,medium
S000342,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,With domain administrators,"If you’re a student or work for an organization that uses Google services, your domain administrator and resellers who manage your account will have access to your Google Account. They may be able to: Receive your account information in order to satisfy applicable law, regulation, legal process, or enforceable governmental request",0,low
S000344,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For external processing,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help operate our data centers, deliver our products and services, improve our internal business processes, and offer additional support to customers and users. We also use service providers to help review YouTube video content for public safety and analyze and listen to samples of saved user audio to help improve Google’s audio recognition technologies.",1,medium
S000345,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For legal reasons,"We will share personal information outside of Google if we have a good-faith belief that disclosure of the information is reasonably necessary to: Respond to any applicable law, regulation,legal process, or enforceable governmental request. We share information about the number and type of requests we receive from governments in our Transparency Report.",0,low
S000347,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For legal reasons,"Enforce applicable Terms of Service, including investigation of potential violations.",0,low
S000348,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For legal reasons,"Detect, prevent, or otherwise address fraud, security, or technical issues.",0,low
S000349,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For legal reasons,"Protect against harm to the rights, property or safety of Google, our users, or the public.",0,low
S000350,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For legal reasons,"We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",0,low
S000351,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,For legal reasons,"If Google is involved in a merger, acquisition, or sale of assets, we’ll continue to ensure the confidentiality of your personal information and give affected users notice before personal information is transferred or becomes subject to a different privacy policy.",0,low
S000352,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We build security into our services to protect your information,"All Google products are built with strong security features that continuously protect your information. The insights we gain from maintaining our services help us detect and automatically block security threats from ever reaching you. And if we do detect something risky that we think you should know about, we’ll notify you and help guide you through steps to stay better protected.",0,low
S000353,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We build security into our services to protect your information,"We work hard to protect you and Google from unauthorized access, alteration, disclosure, or destruction of information we hold, including: We offer a range of security features, like Safe Browsing, Security Checkup, and 2 Step Verification to help you protect your account",0,low
S000355,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We use encryption to keep your data private while in transit,"We review our information collection, storage, and processing practices, including physical security measures, to prevent unauthorized access to our systems",1,medium
S000356,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,We use encryption to keep your data private while in transit,"We restrict access to personal information to Google employees, contractors, and agents who need that information in order to process it. Anyone with this access is subject to strict contractual confidentiality obligations and may be disciplined or terminated if they fail to meet these obligations.",1,medium
S000358,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Export your data,"To delete your information, you can: We retain the data we collect for different periods of time depending on what it is, how we use it, and how you configure your settings:",1,medium
S000360,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Retaining your information,"Some data you can delete whenever you like, such as your personal info or the content you create or upload, like photos and documents. You can also delete activity information saved in your account, or choose to have it deleted automatically after a set period of time. We’ll keep this data in your Google Account until you remove it or choose to have it removed.",0,low
S000361,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Retaining your information,"Other data is deleted or anonymized automatically after a set period of time, such as advertising data in server logs.",0,low
S000362,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Retaining your information,"We keep some data until you delete your Google Account, such as information about how often you use our services.",0,low
S000363,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Retaining your information,"And some data we retain for longer periods of time when necessary for legitimate business or legal purposes, such as security, fraud and abuse prevention, or financial record-keeping.",0,low
S000364,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Retaining your information,"When you delete data, we follow a deletion process to make sure that your data is safely and completely removed from our servers or retained only in anonymized form. We try to ensure that our services protect information from accidental or malicious deletion. Because of this, there may be delays between when you delete something and when copies are deleted from our active and backup systems.",0,low
S000365,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Retaining your information,"You can read more about Google’s data retention periods, including how long it takes us to delete your information.",1,medium
S000366,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Compliance & cooperation with regulators,We regularly review this Privacy Policy and make sure that we process your information in ways that comply with it.,0,low
S000367,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Data transfers,"We maintain servers around the world and your information may be processed on servers located outside of the country where you live. Data protection laws vary among countries, with some providing more protection than others. Regardless of where your information is processed, we apply the same protections described in this policy. We also comply with certain legal frameworks relating to the transfer of data.",0,low
S000368,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Data transfers,"When we receive formal written complaints, we respond by contacting the person who made the complaint. We work with the appropriate regulatory authorities, including local data protection authorities, to resolve any complaints regarding the transfer of your data that we cannot resolve with you directly.",1,medium
S000369,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,When this policy applies,"This Privacy Policy applies to all of the services offered by Google LLC and its affiliates, including YouTube, Android, and services offered on third-party sites, such as advertising services. This Privacy Policy doesn’t apply to services that have separate privacy policies that do not incorporate this Privacy Policy.",0,low
S000370,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,When this policy applies,"This Privacy Policy doesn’t apply to: Services offered by other companies or individuals, including products or sites they offer that may include Google services to which the policy applies, or products or sites displayed to you in search results, or linked from our services",0,low
S000372,Google,Google Privacy Policy,Google Privacy Policy.docx,1,1,Changes to this policy,"We change this Privacy Policy from time to time. We will not reduce your rights under this Privacy Policy without your explicit consent. We always indicate the date the last changes were published and we offer access to archived versions for your review. If changes are significant, we’ll provide a more prominent notice (including, for certain services, email notification of Privacy Policy changes).",2,medium
S000374,Google,Google_Terms_of_Service,Google_Terms_of_Service.docx,1,1,Age requirements,"If you’re a parent or legal guardian, and you allow your child to use the services, then these terms apply to you and you’re responsible for your child’s activity on the services.",1,medium
S000393,Google,Google_Terms_of_Service,Google_Terms_of_Service.docx,1,1,Follow these terms and service-specific additional terms,"don’t abuse or harm others or yourself (or threaten or encourage such abuse or harm) including against children — for example, by misleading, defrauding, illegally impersonating, defaming, bullying, harassing, or stalking others; hosting or publishing any obscene content; or inciting the violation of applicable laws",1,medium
