clause_id,app_name,source_document,source_file,source_path,page_start,page_end,section_heading,clause_index_in_document,clause_text,extraction_method,extraction_quality,retrieved_at,file_sha256
S000012,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,12,"to test or reverse-engineer the Services in order to find limitations or vulnerabilities, or to evade filtering capabilities, except as expressly permitted in the Agreement; or",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000013,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,13,"to use the Services, or any interfaces provided with the Services, to access any other Google product or service in a manner that violates the terms of service of such other Google product or service.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000014,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,14,For Google Workspace:,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000015,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,15,"In addition to the provisions for ""All Services"" above, if You are using Google Workspace, Google Workspace for Education, or Cloud Identity, You must not use the Services – and You must not allow any third parties or End Users to use the Services – for any of the following:",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000016,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,16,to grant multiple individuals access to an individual End User Account other than via the delegation features provided within the Services;,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000017,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,17,to create End User Accounts assigned to business functions rather than to human beings for the purpose of sharing files within or outside of the domain;,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000018,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,18,"to resell End User Accounts, or parts thereof, as added into a commercial product offered to third parties; or",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000019,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,19,to record audio or video communications without consent if such consent is required by applicable laws and regulations (You are solely responsible for ensuring compliance with all applicable laws and regulations in the relevant jurisdiction(s)).,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000020,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,20,"If You use Google Workspace for Education, You agree to use all Services, Additional Products, and Third-Party Offerings that are accessible with Your Account only (a) for educational purposes, and (b) if You are an End User, as authorized by Your school.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000021,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,21,For Google Maps Platform:,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000022,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,22,"In addition to the provisions for ""All Services"" above, if You are using Google Maps Platform, You must not use the Services – and You must not allow any third parties or End Users to use the Services – for any of the following:",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000023,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,23,"to engage in activities that disparage, discriminate, or harass, or are intended to do so;",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000024,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,24,to combine any Google data with any personal information held by You to derive additional personal information without user consent;,python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000025,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,25,"to limit access to ""sensitive consumer opportunities"" based on demographics; or",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000026,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,26,"to assist in the use of weapons where that use would, or is likely to, violate applicable law or regulations.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000027,Google,Google Cloud Acceptable Use Policy,Google Cloud Acceptable Use Policy.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Acceptable Use Policy.docx,1,1,Google Cloud Acceptable Use Policy,27,"Your failure to comply with the AUP may result in suspension or termination, or both, of the applicable Services pursuant to the Agreement.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,c8a04042e690ef05bac1600ac16c6b4159b510fe91ea0d08763474f20e7d2957
S000028,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,1,New to Google Cloud? A quick overview of Google Cloud’s online contracting can be found here.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000029,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,2,"If you are accessing the Services as a customer of an unaffiliated Google Cloud reseller, these terms will apply to you in relation to your use of the Services (subject to the ""Resold Customers"" section of the applicable Service Specific Terms). Notwithstanding the applicability of these terms, if you fall under one of the exempt categories described at https://cloud.google.com/terms/direct-tos-exemptions for the applicable Services, these terms do not apply to you, unless you and Google agree otherwise in writing. If you become exempt from these terms after the Effective Date, this will not affect any liability arising between the parties prior to the date that you become exempt.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000030,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,3,"If you signed an offline variant of this Agreement for use of the Google Cloud Platform Services, Google Workspace Services, SecOps Services, Looker (original) Services, or Cloud Identity Services under the same Google Cloud Platform Services, Google Workspace, SecOps Services, Looker (original) Services, or Cloud Identity Services Account, the terms below do not apply to you, and your offline terms govern your use of the applicable Services.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000031,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,4,These terms do not apply to use of Starter Tier resources. The Starter Tier Additional Terms of Service govern use of all resources in your Starter Tier project.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000032,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,5,"These Google Cloud Terms of Service (together, the ""Agreement"") are entered into by Google and the entity or person agreeing to these terms (""Customer"") and govern Customer's access to and use of the Services. ""Google"" has the meaning given at https://cloud.google.com/terms/google-entity.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000033,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,6,"This Agreement is effective when Customer clicks to accept or otherwise agrees to it (the ""Effective Date""). If you are accepting on behalf of Customer, you represent and warrant that (i) you have full legal authority to bind Customer to this Agreement; (ii) you have read and understand this Agreement; and (iii) you agree, on behalf of Customer, to this Agreement.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000034,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,7,1. Provision of the Services.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000035,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,8,"1.1 Services Use. During the Term, Google will provide the Services in accordance with this Agreement, including the SLAs, and Customer may use the Services, and integrate the GCP Services and Looker (original) Services into any Customer Application that has material value independent of the Services, in accordance with this Agreement. For clarity, Customer may not integrate the Google Workspace Services, SecOps Services, or Cloud Identity Services into Customer Applications or create or host Customer Applications using the Google Workspace Services, SecOps Services, or Cloud Identity Services under this Agreement, and Customer may only integrate Looker (original) Services into a Customer Application as provided in the Service Specific Terms.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000036,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,9,"1.2 Admin Console. If applicable, Customer will have access to the Admin Console, through which Customer may manage its use of the Services.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000037,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,10,1.3 Accounts; Verification to Use GWS Services or Cloud Identity Services.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000038,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,11,"(a) Accounts. Customer must have an Account to use the Services and is responsible for the information it provides to create the Account, the security of its passwords for the Account (including any keys for Google APIs) and for any use of its Account. Google has no obligation to provide multiple accounts to Customer.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000039,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,12,"(b) Verification to use GWS Services or Cloud Identity Services. Customer must verify a Domain Email Address or a Domain Name to use GWS Services or Cloud Identity Services. If Customer does not have valid permission to use the Domain Email Address or does not own or control the Domain Name, then Google will have no obligation to provide Customer with GWS Services or Cloud Identity Services and may delete the Account without notice.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000040,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,13,1.4 Updates.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000041,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,14,(a) To the Services. Google may make commercially reasonable updates to the Services from time to time.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000042,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,15,"(b) To this Agreement. Subject to subsections (i) and (ii), Google may make updates to this Agreement from time to time. Google will post any update to this Agreement to https://cloud.google.com/terms/. This subsection 1.4(b) does not apply to updates to the URL Terms, which are governed by subsection 1.4(c) below.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000043,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,16,"(i) With respect to GCP Services and their corresponding TSS, unless otherwise noted by Google, material updates to this Agreement will become effective 30 days after they are posted. Notwithstanding the preceding sentence, to the extent any updates apply to new functionality or are required to comply with applicable law, they will be effective immediately. If Customer does not agree to any update to the Agreement regarding GCP or its TSS, Customer may stop using the GCP Services or TSS. Customer may also terminate this Agreement for convenience under Section 8.5 (Termination for Convenience). Customer's continued use of the GCP Services or TSS after a material update will constitute Customer's consent to such update.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000044,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,17,"(ii) With respect to GWS Services, SecOpS Services, Looker (original) Services, and Cloud Identity Services, and their respective corresponding TSS, material updates to this Agreement will only take effect if and when Customer's Order Term renews.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000045,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,18,"(c) To the URL Terms. Google may make commercially reasonable updates to the URL Terms from time to time by posting any such update at the relevant URL Term. Unless otherwise noted by Google, material updates to the URL Terms will become effective 30 days after they are posted. Notwithstanding the preceding sentence, to the extent the updates apply to new functionality or the Cloud Data Processing Addendum, or are required by applicable law, they will be effective immediately.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000046,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,19,"(d) To the Cloud Data Processing Addendum. Without limiting the generality of Section 1.4(c), Google may only update the Cloud Data Processing Addendum where such update is required to comply with applicable law or expressly permitted by the Cloud Data Processing Addendum, or where such update:",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000047,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,20,(i) is commercially reasonable;,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000048,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,21,(ii) does not result in a material reduction of the security of the Services;,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000049,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,22,"(iii) does not expand the scope of or remove any restrictions on Google's processing of ""Customer Personal Data,"" as described in the ""Compliance with Customer’s Instructions"" Section of the Cloud Data Processing Addendum; and",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000050,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,23,(iv) does not otherwise have a material adverse impact on Customer's rights under the Cloud Data Processing Addendum.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000051,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,24,"(e) Discontinuation of Services. Subject to the last sentence in this Section 1.4(e) (Discontinuation of Services), Google will notify Customer at least 12 months before: (i) discontinuing any Service (or associated material functionality) unless Google replaces such discontinued Service or functionality with a materially similar Service or functionality; or (ii) significantly modifying a Customer-facing Google API in a backwards-incompatible manner. Nothing in this Section 1.4(e) (Discontinuation of Services) limits Google's ability to make changes required to comply with applicable law, address a material security risk, or avoid a substantial economic or material technical burden. This Section 1.4(e) (Discontinuation of Services) does not apply to Cloud Identity Services or pre-general availability Services, offerings, or functionality and, for GWS Services, only applies to Core Services (and not Other Services).",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000052,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,25,"1.5 Software. If Google makes Software available to Customer, including third-party software, Customer's use of any Software is subject to the applicable provisions in the Service Specific Terms.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000053,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,26,2. Payment Terms.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000054,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,27,2.1 Billing.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000055,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,28,(a) Billing Generally.,python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
S000056,Google,Google Cloud Terms of Service,Google Cloud Terms of Service.docx,datasets\SocialMediaPolicies\Google\source\Google Cloud Terms of Service.docx,1,1,Google Cloud Terms of Service,29,"Google will issue an electronic bill or invoice to Customer for all Fees, including, if applicable, Fees based on Customer's use of the Services during the applicable Fee Accrual Period and any relevant Fees for TSS. If Google reasonably determines based on objective criteria and Google’s policies that Customer poses a risk of non-payment, bad-faith dealing, dishonesty, or accessing or using the Services in a manner intended to avoid incurring Fees to circumvent Service-specific usage limits or quotes, then, without limiting Google’s other rights or remedies, Google may (i) invoice or charge Customer more frequently or (ii) require Customer to purchase credits to use certain Services. Google may also, regardless of any such risk, require all customers to purchase credits to use certain Services. Any purchases of credits are subject to the ""Paid Credit"" section of the applicable Service Specific Terms (including, for GCP Services, the Supplemental Paid Credit Terms at https://cloud.google.com/terms/supplemental-paid-credit). Customer will pay all Fees in the currency stated in the bill or invoice. If Customer pays by credit card, debit card, or other non-invoiced form of payment, Customer will pay all Fees immediately at the end of the Fee Accrual Period or when otherwise charged by Google.",python-docx,pass,2026-09-16T05:33:02.113480+00:00,e40cee55bbb2cdc9b113f45a869ef77cc70fc2e57f3635b0cff0546fd9279323
