taxonomy_id,act,category,requirement,checkable_test,applicability,source,weight,assessability,citation_confidence,source_candidate_ids,source_clause_ids,source_legal_anchors,source_provenance_status,consolidation_action,consolidation_reason,canonical_candidate_id,review_status,candidate_count,legal_approval,taxonomy_stage
DPDP_ACT-0009,DPDP_ACT_2023,Significant Data Fiduciary Obligations,A Data Fiduciary must process personal data only for a lawful purpose as defined by the DPDP Act 2023.,Verify if the Data Fiduciary's processing of personal data is limited to lawful purposes as per the DPDP Act 2023.,Applies to all Data Fiduciaries processing personal data in India.,"DPDP Act 2023, Section 3(1)",3,High,high,"[""TC-000009""]","[""G000443""]","[""section 3 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000009,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0010,DPDP_ACT_2023,Consent & Notice,Every request for consent from a Data Principal must be accompanied by a notice informing the Data Principal of the purpose of processing.,Check if all consent requests include a notice describing the purpose of data processing.,Applies to all Data Fiduciaries seeking consent for data processing.,"DPDP Act 2023, Section 5(1)",3,High,high,"[""TC-000010""]","[""G000449""]","[""section 5 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000010,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0012,DPDP_ACT_2023,Consent & Notice,A Data Fiduciary must accompany or precede a request for personal data with a notice describing the personal data and the purpose of its processing.,Check if all data processing requests include a notice describing the data and its purpose.,Applies to all Data Fiduciaries processing personal data for KYC requirements.,"DPDP Act 2023, Section 3(B)",3,High,high,"[""TC-000012""]","[""G000453""]","[""section 3 b""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000012,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0013,DPDP_ACT_2023,Consent & Notice,A Data Fiduciary must inform a Data Principal of the right to withdraw consent and the consequences of withdrawal.,Verify if the Data Fiduciary provides information on how to withdraw consent and its effects.,Applies to all Data Fiduciaries processing personal data with prior consent.,"DPDP Act 2023, Section 4(1)(b)",3,High,high,"[""TC-000013""]","[""G000462""]","[""section 4 1 b""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000013,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_ACT-0014,DPDP_ACT_2023,Consent & Notice,A Data Fiduciary must inform a Data Principal of the purpose of processing personal data upon the commencement of the DPDP Act 2023.,Check if the Data Fiduciary provides information on the purpose of data processing to Data Principals who gave consent before the Act's commencement.,Applies to all Data Fiduciaries who processed data before the DPDP Act 2023 came into effect.,"DPDP Act 2023, Section 4(1)(b)",3,High,high,"[""TC-000014""]","[""G000463""]","[""section 4 1 b""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000014,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0094,DPDP_RULES_2025,Breach Notification,"Data Fiduciary must provide a detailed description of the breach, including its nature, extent, timing, location, and likely impact.","Check if the document specifies the obligation to provide a detailed description of the breach, including its nature, extent, timing, location, and likely impact.",Applicable to all Data Fiduciaries subject to DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,"[""TC-000094"", ""TC-000098""]","[""G001055"", ""G001061""]","[""rule 8 1"", ""rules""]",RESOLVED,MERGED,Candidates were consolidated because the automatic merge rules found substantive duplication within the same Act/category.,TC-000098,PENDING_HUMAN_REVIEW,2,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0124,DPDP_RULES_2025,Significant Data Fiduciary Obligations,Consent Managers must enable Data Principals to give consent to the processing of their personal data by a Data Fiduciary through another Data Fiduciary onboarded onto the platform.,Check if the document specifies that the platform enables Data Principals to give consent through another Data Fiduciary.,Applicable to Consent Managers.,"DPDP Rules 2025, Rule 11",3,3,high,"[""TC-000127"", ""TC-000128""]","[""G001170"", ""G001171""]","[""rule 10"", ""rule 11"", ""rules""]",RESOLVED,MERGED,Candidates were consolidated because the automatic merge rules found substantive duplication within the same Act/category.,TC-000128,PENDING_HUMAN_REVIEW,2,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0376,DPDP_RULES_2025,Children/Vulnerable Groups,Data processing by educational institutions is restricted to tracking and behavioural monitoring in the interests of safety of children entrusted in their care.,Check if the document restricts data processing by educational institutions to tracking and behavioural monitoring solely for the safety of children in their care.,Applicable to educational institutions handling children's data.,"DPDP Rules 2025, Section 8(4)",3,3,high,"[""TC-000383"", ""TC-000384""]","[""G001258"", ""G001260""]","[""rules"", ""section 8 4"", ""section 8 5""]",RESOLVED,MERGED,Candidates were consolidated because the automatic merge rules found substantive duplication within the same Act/category.,TC-000383,PENDING_HUMAN_REVIEW,2,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0076,DPDP_RULES_2025,Consent & Notice,Data Fiduciaries must provide a fair account of details necessary for specific and informed consent in clear and plain language.,Verify if the document specifies the requirement to provide a fair account of details in clear and plain language for informed consent as per the referenced section.,Applicable to Data Fiduciaries under the DPDP Rules 2025.,"DPDP Rules 2025, Section 1017(b)",3,High,high,"[""TC-000076""]","[""G001017""]","[""rules"", ""section 1017 b""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000076,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0086,DPDP_RULES_2025,Security Safeguards,"Implement appropriate data security measures, such as encryption, obfuscation, masking, or the use of virtual tokens mapped to personal data.","Check if the document specifies encryption, obfuscation, masking, or virtual tokens for securing personal data.",Applicable to all data fiduciaries and processors handling personal data.,"DPDP Rules 2025, Rule 8(2)(a)",3,High,high,"[""TC-000086""]","[""G001045""]","[""rule 8 2 a"", ""rules""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000086,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0099,DPDP_RULES_2025,Data Retention & Erasure,A Data Fiduciary must erase personal data upon completion of the specified retention period unless retention is necessary for legal compliance.,"Verify if the Data Fiduciary provides a mechanism for erasure of personal data after the retention period, unless retention is required by law.",Applies to Data Fiduciaries processing personal data for specified purposes.,"DPDP Rules 2025, Rule 8(1)",3,High,high,"[""TC-000100""]","[""G001071""]","[""rule 8 1"", ""rules""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000100,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0114,DPDP_RULES_2025,Data Principal Rights,Data Fiduciaries must provide Data Principals with details of the means to exercise their rights under the Act.,"Check if the document provides clear, accessible means for Data Principals to exercise their rights.",Applicable to all Data Fiduciaries under the DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,"[""TC-000117""]","[""G001116""]","[""rule 8 1"", ""rules""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000117,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0117,DPDP_RULES_2025,Grievance Redressal,Data Fiduciaries and Consent Managers must prominently publish on their website or app a grievance redressal system for responding to Data Principal grievances within ninety days.,Check if the document provides a prominently published grievance redressal system with a ninety-day response period.,Applicable to all Data Fiduciaries and Consent Managers under the DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,"[""TC-000120""]","[""G001119""]","[""rule 8 1"", ""rules""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000120,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0118,DPDP_RULES_2025,Cross-Border Transfer,Data Fiduciaries must meet requirements specified by the Central Government for transferring personal data outside the territory of India.,Check if the document specifies that Data Fiduciaries must meet Central Government requirements for cross-border data transfers.,Applicable to all Data Fiduciaries under the DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,"[""TC-000121""]","[""G001124""]","[""rule 8 1"", ""rules""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000121,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0549,DPDP_RULES_2025,Confidentiality & Misuse of Data,Data fiduciaries must ensure the absence of conflict of interest in the performance of their functions.,Verify that data fiduciaries have no financial or other interests that could prejudice their functions.,All data fiduciaries.,"DPDP Rules 2025, Section 8(1)",3,3,high,"[""TC-000559""]","[""G001311""]","[""rules"", ""section 8 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000559,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0378,DPDP_RULES_2025,Children/Vulnerable Groups,Processing of children's real-time location data is restricted to tracking their location in the interest of their safety and protection.,Check if the data processing of children's real-time location data is limited to tracking their location for safety and protection purposes.,Applies to data processing involving children's real-time location data.,"DPDP Rules 2025, Section 1273",3,High,high,"[""TC-000386"", ""TC-000387""]","[""G001272"", ""G001273""]","[""rules"", ""section 1272"", ""section 1273""]",RESOLVED,MERGED,Candidates were consolidated because the automatic merge rules found substantive duplication within the same Act/category.,TC-000386,PENDING_HUMAN_REVIEW,2,FALSE,PROVISIONAL_FINAL
DPDP_RUL-0379,DPDP_RULES_2025,Children/Vulnerable Groups,Processing of children's location data is restricted to the extent necessary for creating a user account for communication by email.,Check if the data processing of children's location data is limited to creating a user account for email communication purposes.,Applies to data processing involving children's location data for email account creation.,"DPDP Rules 2025, Section 1271",3,High,high,"[""TC-000388"", ""TC-000389""]","[""G001270"", ""G001271""]","[""rules"", ""section 1270"", ""section 1271""]",RESOLVED,MERGED,Candidates were consolidated because the automatic merge rules found substantive duplication within the same Act/category.,TC-000388,PENDING_HUMAN_REVIEW,2,FALSE,PROVISIONAL_FINAL
IT_ACT_2-0151,IT_ACT_2000,Security Safeguards,"Organizations must implement measures to protect information, equipment, devices, and communication devices from unauthorized access, use, disclosure, disruption, modification, or destruction.",Verify if the document outlines specific security measures to protect information and systems from unauthorized access or breaches.,Applicable to entities handling electronic communications and data.,"IT Act 2000, Section 69B",3,3,high,"[""TC-000155""]","[""G001418""]","[""section 69b""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000155,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
IT_ACT_2-0155,IT_ACT_2000,Confidentiality & Misuse of Data,"The Central Government may prescribe control processes and procedures to ensure adequate integrity, security and confidentiality of electronic records or payments.","Verify if the Central Government has prescribed control processes and procedures for ensuring the integrity, security, and confidentiality of electronic records or payments.",Applies to entities handling electronic records or payments under the IT Act 2000.,"IT Act 2000, Section 10A",3,High,high,"[""TC-000159""]","[""G001580""]","[""section 10a""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000159,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
IT_ACT_2-0164,IT_ACT_2000,Intermediary/Platform Liability,"Intermediaries must comply with directions issued by the government to block access to information generated, transmitted, received, stored, or hosted in any computer resource.",Check if the document specifies procedures for complying with government directions to block access to information.,Applicable to intermediaries hosting information subject to government blocking orders.,"IT Act 2000, Section 69A(1)",3,3,high,"[""TC-000168""]","[""G001915""]","[""section 69a 1""]",RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000168,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
TRAI_ACT-0253,TRAI_ACT_1997,Significant Data Fiduciary Obligations,The Authority must maintain proper accounts and other relevant records and prepare an annual statement of accounts in the form prescribed by the Central Government.,Check if the Authority maintains proper accounts and prepares annual statements in the prescribed form.,Applicable to the Authority under the TRAI Act 1997.,"TRAI_ACT_1997, SECTION=FINANCE, ACCOUNTS AND AUDIT",3,High,high,"[""TC-000257""]","[""G003368""]",[],RESOLVED,KEEP,No sufficiently strong duplicate evidence was found.,TC-000257,PENDING_HUMAN_REVIEW,1,FALSE,PROVISIONAL_FINAL
