taxonomy_id,act,category,requirement,checkable_test,required_concepts,exclude_concepts,applicability,source,weight,assessability,citation_confidence,source_candidate_ids,source_clause_ids,consolidation_action,consolidation_reason,canonical_candidate_id,candidate_count,review_status,legal_approval,taxonomy_stage
DPDP_RUL-0201,DPDP_RULES_2025,Grievance Redressal,Data Fiduciaries and Consent Managers must prominently publish on their website or app a grievance redressal system for responding to Data Principal grievances within ninety days.,Check if the document provides a prominently published grievance redressal system with a ninety-day response period.,grievance officer contact; redressal timeline; dpo email; nodal contact officer; physical address in india; grievance mechanism,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; customer support for billing; refund inquiries,Applicable to all Data Fiduciaries and Consent Managers under the DPDP Rules 2025.,"DPDP Rules 2025, Rule 8(1)",3,High,high,['TC-000120'],['G001119'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000120,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0172,DPDP_RULES_2025,Security Safeguards,Implement appropriate measures to control access to computer resources used by the data fiduciary or data processor.,Check if the document specifies access control measures for computer resources.,technical measures; encryption; unauthorized access prevention; reasonable security practices; access control; data protection safeguards; audit,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; platform uptime security; circumvention of software features; physical office security,Applicable to all data fiduciaries and processors handling personal data.,"DPDP Rules 2025, Rule 8(2)(b)",3,High,high,['TC-000087'],['G001046'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000087,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0170,DPDP_RULES_2025,Significant Data Fiduciary Obligations,"A Data Fiduciary must implement reasonable security safeguards to protect personal data in its possession or under its control, including any processing undertaken by it or on its behalf.",Check if the document explicitly states that the organization implements reasonable security safeguards to protect personal data.,personal data processing obligation; compliance with data protection law,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation,Applicable to all Data Fiduciaries handling personal data.,"DPDP Rules 2025, Rule 6(1)",3,High,high,['TC-000085'],['G001043'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000085,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0212,DPDP_RULES_2025,Consent & Notice,"The Consent Manager must provide the Data Principal with access to the record of consents, notices, and data sharing.","Verify if the platform provides users with access to the records of consents, notices, and data sharing.",notice of collection; specified purpose; consent withdrawal; opt-out mechanism; unconditional consent; itemized notice; privacy policy link,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; service availability disclaimer; warranty limitation,All users of the platform,"DPDP Rules 2025, Rule 8(1)(a)",3,High,high,['TC-000133'],['G001181'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000133,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0206,DPDP_RULES_2025,Significant Data Fiduciary Obligations,"Consent Managers must ensure that their platform enables Data Principals to give, manage, review, and withdraw consent in accordance with published data protection standards.","Check if the document specifies that the platform enables Data Principals to give, manage, review, and withdraw consent in accordance with published standards.",personal data processing obligation; compliance with data protection law,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation,Applicable to Consent Managers.,"DPDP Rules 2025, Rule 9(a)",3,3,high,['TC-000126'],['G001167'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000126,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0173,DPDP_RULES_2025,Security Safeguards,"Maintain visibility on the accessing of personal data through appropriate logs, monitoring, and review to detect unauthorized access.","Check if the document specifies logging, monitoring, and review mechanisms for detecting unauthorized access.",technical measures; encryption; unauthorized access prevention; reasonable security practices; access control; data protection safeguards; audit,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; platform uptime security; circumvention of software features; physical office security,Applicable to all data fiduciaries and processors handling personal data.,"DPDP Rules 2025, Rule 8(2)(c)",3,High,high,['TC-000088'],['G001047'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000088,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0175,DPDP_RULES_2025,Security Safeguards,"Retain logs and personal data for a period of one year for detecting unauthorized access, investigating it, and ensuring continued processing, unless required by law.",Check if the document specifies a one-year retention period for logs and personal data for security purposes.,technical measures; encryption; unauthorized access prevention; reasonable security practices; access control; data protection safeguards; audit,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; platform uptime security; circumvention of software features; physical office security,Applicable to all data fiduciaries and processors handling personal data.,"DPDP Rules 2025, Rule 8(2)(e)",3,High,high,['TC-000090'],['G001049'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000090,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
DPDP_RUL-0176,DPDP_RULES_2025,Security Safeguards,Include appropriate provisions in contracts between data fiduciaries and data processors for taking reasonable security safeguards.,Check if the document specifies contractual provisions for security safeguards between data fiduciaries and processors.,technical measures; encryption; unauthorized access prevention; reasonable security practices; access control; data protection safeguards; audit,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; platform uptime security; circumvention of software features; physical office security,Applicable to all data fiduciaries and processors handling personal data.,"DPDP Rules 2025, Rule 8(2)(f)",3,High,high,['TC-000091'],['G001050'],KEEP,Consolidated 1 candidates within DPDP_RULES_2025 based on semantic equivalence.,TC-000091,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0310,IT_ACT_2000,Breach Notification,A breach of confidentiality and privacy must be reported under the IT Act 2000.,Check if the organization has a process for reporting breaches of confidentiality and privacy as required by the IT Act 2000.,data breach report; notification to user; incident notice; compromised personal data; intimate cert-in; security incident,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; scheduled maintenance downtime; bug fixes; service discontinuation,Applicable to organizations handling personal data.,"IT Act 2000, Section 72",3,High,high,['TC-000398'],['G001421'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000398,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0307,IT_ACT_2000,Data Retention & Erasure,Organizations must retain electronic records as required and ensure they are maintained securely.,Whether the organization has a policy for retaining and auditing electronic records.,deletion of personal data; retention period; purpose fulfillment erasure; account deletion data wipe; data retention policy; storage limitation,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; temporary account lock; caching for performance,Applicable to all entities maintaining electronic records.,"IT Act 2000, Section 7A",2,High,high,['TC-000395'],['G001354'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000395,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0285,IT_ACT_2000,Intermediary/Platform Liability,"Intermediaries must comply with directions issued by the government to block access to information generated, transmitted, received, stored, or hosted in any computer resource.",Check if the document specifies procedures for complying with government directions to block access to information.,takedown notice; due diligence; unlawful content removal; 24-36 hour blocking compliance; user agreement notification; rule 3 compliance; publish rules and regulations,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; dmca copyright notice; trademark dispute form,Applicable to intermediaries hosting information subject to government blocking orders.,"IT Act 2000, Section 69A(1)",3,3,high,['TC-000168'],['G001915'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000168,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0279,IT_ACT_2000,Security Safeguards,"Organizations must implement measures to protect information, equipment, devices, and communication devices from unauthorized access, use, disclosure, disruption, modification, or destruction.",Verify if the document outlines specific security measures to protect information and systems from unauthorized access or breaches.,technical measures; encryption; unauthorized access prevention; reasonable security practices; access control; data protection safeguards; audit,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; platform uptime security; circumvention of software features; physical office security,Applicable to entities handling electronic communications and data.,"IT Act 2000, Section 69B",3,3,high,['TC-000155'],['G001418'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000155,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0288,IT_ACT_2000,Intermediary/Platform Liability,Intermediaries must not attempt to secure access to protected systems without authorization.,Check if the document prohibits unauthorized access to protected systems and outlines consequences for such actions.,takedown notice; due diligence; unlawful content removal; 24-36 hour blocking compliance; user agreement notification; rule 3 compliance; publish rules and regulations,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; dmca copyright notice; trademark dispute form,Applicable to intermediaries managing protected systems.,"IT Act 2000, Section 70(3)",3,3,high,['TC-000171'],['G001925'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000171,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0289,IT_ACT_2000,Intermediary/Platform Liability,Intermediaries must comply with government authorization to access protected systems.,Check if the document specifies procedures for complying with government authorization to access protected systems.,takedown notice; due diligence; unlawful content removal; 24-36 hour blocking compliance; user agreement notification; rule 3 compliance; publish rules and regulations,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; dmca copyright notice; trademark dispute form,Applicable to intermediaries managing protected systems.,"IT Act 2000, Section 70(2)",3,3,high,['TC-000172'],['G001924'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000172,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
IT_ACT_2-0290,IT_ACT_2000,Intermediary/Platform Liability,"Intermediaries must not disclose personal information of users without consent or in breach of a lawful contract, as this constitutes an offence under the IT Act 2000, Section 72A.",Verify if the document explicitly states that intermediaries must not disclose personal information without consent or in breach of a lawful contract.,takedown notice; due diligence; unlawful content removal; 24-36 hour blocking compliance; user agreement notification; rule 3 compliance; publish rules and regulations,generic terms of service; copyright infringement; ad payment billing; watermark removal; subscription pricing; account suspension for harassment; community standards violation; dmca copyright notice; trademark dispute form,Applicable to intermediaries and platforms handling user data.,"IT Act 2000, Section 72A",3,High,high,['TC-000173'],['G001947'],KEEP,Consolidated 1 candidates within IT_ACT_2000 based on semantic equivalence.,TC-000173,1,APPROVED_FIDUCIARY_BENCHMARK,True,FINAL
